"dispenser_id","11-06 15","11-04 07","11-10 12","11-08 16","11-04 18","11-06 21","11-07 06","11-08 07","11-10 10","11-11 13","11-11 09","11-09 15","11-10 21","11-05 23","11-06 10","11-07 00","11-04 11","11-09 18","11-10 15","11-06 05","11-08 09","11-04 16","11-09 03","11-05 16","11-05 04","11-11 05","11-06 14","11-07 18","11-12 00","11-09 07","11-06 09","11-10 11","11-07 23","11-09 19","11-05 12","11-10 01","11-11 12","11-09 12","11-10 22","11-10 07","11-05 08","11-04 02","11-08 02","11-07 01","11-10 20","11-08 22","11-07 20","11-08 11","11-10 04","11-04 22","11-11 16","11-09 22","11-07 10","11-05 19","11-04 06","11-10 19","11-08 17","11-04 12","11-07 05","11-06 00","11-05 18","11-04 09","11-09 00","11-10 13","11-11 08","11-05 00","11-06 13","11-04 17","11-08 13","11-10 06","11-05 03","11-05 10","11-10 16","11-09 16","11-09 04","11-05 17","11-09 09","11-05 07","11-11 04","11-06 04","11-08 08","11-09 21","11-07 15","11-10 02","11-12 01","11-08 21","11-06 08","11-05 13","11-05 20","11-06 18","11-08 10","11-07 11","11-10 23","11-04 03","11-08 03","11-04 23","11-11 17","11-09 11","11-10 03","11-11 03","11-11 18","11-09 20","11-10 05","11-06 03","11-03 14","11-04 14","11-07 22","11-08 18","11-11 07","11-10 00","11-10 09","11-11 11","11-06 12","11-09 17","11-11 21","11-11 14","11-06 17","11-05 11","11-04 00","11-07 13","11-10 17","11-05 01","11-06 01","11-04 05","11-06 23","11-07 09","11-08 14","11-08 05","11-05 06","11-06 02","11-11 20","11-11 10","11-07 17","11-11 22","11-08 04","11-07 03","11-10 18","11-09 05","11-05 14","11-05 21","11-07 14","11-08 20","11-07 08","11-11 19","11-04 20","11-09 10","11-11 00","11-07 04","11-04 13","11-08 00","11-06 07","11-09 01","11-10 14","11-08 06","11-06 16","11-11 06","11-09 14","11-04 04","11-06 20","11-08 15","11-05 05","11-06 22","11-07 19","11-07 12","11-06 11","11-06 06","11-07 21","11-08 19","11-04 19","11-04 10","11-07 07","11-04 15","11-11 15","11-05 15","11-05 22","11-09 13","11-11 01","11-09 06","11-08 23","11-07 16","11-09 08","11-09 23","11-10 08","11-04 01","11-08 01","11-11 23","11-07 02","11-05 02","11-09 02","11-05 09","11-08 12","11-11 02","11-04 08","11-06 19","11-04 21"
"23795","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23813","","","","8","","","","","","","","18","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","2","","","","","","","1","","","","","2","","","","","7","","","","","","","","1","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","5","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"23836","1","10","","","","1","1","","","","","","","1","3","","","","","2","","","","","","","","","","","3","","1","","","","","","","","3","","","","","","","1","","1","","","","2","","","","2","","3","2","2","","","","4","","","","","1","1","","","","","","1","","3","","","","","","","2","1","","1","4","","","","1","2","","","","","","","","1","","","4","","","","","","1","","","","2","","","","","","1","","1","1","","","3","","","","","","","2","","","","1","","","2","","","","","1","1","","1","","","","2","","","","1","","4","","","","1","3","","","","5","","","","","3","","","","","","","","","","","","","2","","2","","","","3",""
"23871","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","4","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"23884","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23900","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23960","","","","","","","","","","1","1","","2","","","","","","","","","","","","","","","","2","","","","","","","","11","","2","","","","","","1","","","","","","4","","","","","2","","","","","","","","","2","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","2","","","2","7","","","","","","","","","","","8","","","2","3","","","","","","","","","","","","","","","3","10","","","","","1","","","","","","","5","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","9","","","","3","","","","","","","","","","","","","","","","","",""
"23976","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","2","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","3","","","","","","1","","","","","1","","","","1","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","3","","","","2","1","","","","","1","","","","","1","","","1","","1","","","","","1","","","","","","","","","","","4","","","2",""
"23978","4","3","1","2","1","4","5","1","","3","3","4","3","2","1","1","1","1","5","2","","3","1","9","1","4","7","6","3","1","4","","1","1","9","5","","1","3","","1","","6","2","3","7","","","","","1","1","1","10","2","1","2","9","2","2","5","4","3","","3","6","3","4","6","","1","2","2","6","","4","2","1","","2","1","4","5","","1","2","","3","7","2","1","1","3","2","1","","4","2","2","4","1","2","1","","","9","2","","","5","1","6","1","3","5","1","","10","","3","","2","1","1","5","2","3","","1","1","2","","4","4","2","1","2","1","6","3","6","1","","","1","4","4","1","2","1","","3","3","","7","","1","2","2","2","","1","","","","","2","3","4","","2","11","","8","1","3","6","1","2","7","2","2","2","","","1","3","","3","3","1","3","1","2","6"
"23982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","1","","","","","","","","","","","",""
"23998","","","","","","","","","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","2","2","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","3","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","1","","","","","","","1","","","","","1","","","","2","","","","","","","","","","","","","1","","2","","","","","","1","","","","","","","","","","1","","","","","","","","1","","","","","2","","","","","","","","","","","","","","2","","","","",""
"24001","","","","","2","","","","","","2","","","","","","","","","","3","1","","","","","1","","","","1","","","","5","","","","","1","","","","","","1","1","1","","","3","","","1","","","","","","","","2","","1","","","1","","","","","","3","1","2","","1","","","","","","","","","","","","","","1","","2","","","","","","","","2","","","","","","1","","","","1","1","1","","2","","","1","","","","","","","","","","1","","","","2","","","","","","2","","1","","1","","1","","","","","1","","","","","1","1","","1","","2","3","","","","","3","","1","","","","","","","","","2","","","","","","","","","1","","","","","","","","","2",""
"24002","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","1","","","","","","","","","","","3","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
"24003","","","","2","1","4","","","","","1","5","6","3","","6","1","1","2","","","","2","10","","3","1","2","","1","1","1","4","4","2","","","1","3","","","","","1","2","5","","1","3","2","2","6","","1","","2","","1","","1","2","1","1","1","","2","1","","2","1","","2","1","3","1","2","3","","4","","","2","1","4","","","","5","","","3","2","2","2","1","1","1","9","","2","","3","","1","","","3","","2","1","","1","2","2","2","","","2","","","1","","4","","2","9","2","","","2","1","","2","3","1","1","5","","","1","4","","","2","1","4","2","","2","","","3","2","","","2","1","","1","2","2","2","","","","","2","","","2","","3","","1","1","3","","1","3","2","1","","2","","","1","1","4","2","","","1","1","","2"
